Twitter Query: -filter:retweets -filter:replies from:narendramodi OR from:RahulGandhi OR from:ArvindKejriwal OR from:BJP4India OR from:INCIndia OR from:AamAadmiParty,,,,,,,,,,,User Details,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
2/17/2019,@narendramodi,Narendra Modi,"स्वस्थ बिहार, विकसित बिहार।",1097109082715185153,,pic.twitter.com/6SoF08nRLS,,695,2289,Twitter Media Studio,45655362,2124,23332,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/17/2019,@narendramodi,Narendra Modi,हमारा प्रयास: उत्तम इन्फ्रास्ट्रक्चर गरीब का पक्का घर हर घर में बिजली रसोई को धुएं से मुक्त करना- गैस कनेक्शन पीने का साफ पानी।,1097108890985136133,,pic.twitter.com/jMSfvjccNG,,869,3138,Twitter Media Studio,45655362,2124,23332,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/17/2019,@narendramodi,Narendra Modi,आज कई ट्रेनों को हरी झंडी दिखाई। इनसे कनेक्टिविटी में सुधार आएगा। पटना रिवरफ्रंट बनने से पर्यटन को बढ़ावा मिलेगा।,1097108692640636932,,pic.twitter.com/H4g1hFkf0M,,578,2241,Twitter Media Studio,45655362,2124,23332,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/17/2019,@narendramodi,Narendra Modi,प्रधानमंत्री ऊर्जा गंगा योजना पूर्वी भारत के विकास में महत्वपूर्ण भूमिका निभा रही है।,1097108616811896837,,pic.twitter.com/QGUKBbsZWk,,509,1710,Twitter Media Studio,45655362,2124,23332,✅,1/10/2009,India,Prime Minister of India,http://www.narendramodi.in,,View
2/17/2019,@BJP4India,BJP,"Congress led UPA govt gave only Rs 79,000 crore under the 13th Finance Commission to Assam. However, in the 14th Finance Commission, BJP govt allocated Rs 1.55 lakh crore to Assam : Shri @AmitShah",1097107262655496193,,pic.twitter.com/sGxPvKldlV,,269,577,Twitter Media Studio,10503840,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@BJP4India,BJP,"Misinformation is being spread about the Citizenship (Amendment) Bill. It's not only for Northeast alone, but for all refugees across the country. The way demography is changing in Assam, without the Citizenship Bill, the people of the state will be in danger : Shri @AmitShah",1097106848757428224,,pic.twitter.com/sA4Uo4qZdJ,,281,530,Twitter Media Studio,10503840,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@BJP4India,BJP,"Internal democracy is quite strong in BJP because elections are held periodically for all internal positions. It’s not a party of a family, it’s a party of karyakartas : Shri @AmitShah",1097092626258350080,,https://pbs.twimg.com/media/Dzmn6FXU8Aghraq.png,,86,164,Twitter Web Client,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@BJP4India,BJP,"Shri @AmitShah is addressing a gathering at Assam BJP State office in Guwahati, Assam.",1097088581351292929,https://www.pscp.tv/w/bzk2ezFZTEVKTlh4RG5ORU58MWRSS1pPbUJxVndHQvsuz4tDLGbB7x8qRQoJjm55owz1HBXFV8xTxpWPVDw1,,,283,548,Periscope,10503248,2,2477,✅,10/26/2010,"6-A, Deen Dayal Upadhyay Marg, Delhi 110002","Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा) http://instagram.com/bjp4india",http://www.bjp.org,,View
2/17/2019,@AamAadmiParty,AAP,The martyrdom of our soldiers should not be in vain. Their martyrdom should be revenge. Today we are safe because our soldiers sacrificed their lives for us: @ArvindKejriwal,1097088254694879234,,pic.twitter.com/Kqq7yzPJzo,,25,75,Twitter for Android,4760642,317,1775,✅,7/23/2012,India,भ्रष्टाचार मुक्त भारत हमारी मांग नहीं हमारी जिद्द है । जय हिन्द । http://fb.com/AamAadmiParty,http://www.aamaadmiparty.org,,View
2/17/2019,@AamAadmiParty,AAP,"Our country is attacked, we can not sit quiet You have to answer this. Standing above party and politics, today the whole country is standing with the Prime Minister and the soldiers of the army, Pakistan must teach a lesson: @ArvindKejriwal",1097082222144905216,,pic.twitter.com/KmYBcW0RB7,,65,182,Twitter for Android,4760642,317,1775,✅,7/23/2012,India,भ्रष्टाचार मुक्त भारत हमारी मांग नहीं हमारी जिद्द है । जय हिन्द । http://fb.com/AamAadmiParty,http://www.aamaadmiparty.org,,View
